time,液体流量计1,气体流量计2,温度传感器3,温度传感器4,液位传感器5,压力传感器6,液体流量计7,气体流量计8,温度传感器9,温度传感器10,压力传感器11,液位传感器12,气体流量计13,温度传感器14,压力传感器15,液体流量计16,温度传感器18,压力传感器19,液体流量计20,液位传感器21,温度传感器22,压力传感器23,温度传感器24,压力传感器25,液体流量计26,液位传感器27,压力传感器28,温度传感器29,温度传感器30,压力传感器31,液体流量计32
" 2022-08-29 16:08:30",6.0,1.0,23.0,22.0,396.0,23.0,12.0,0.0,24.0,29.0,32.0,346.0,0.0,22.0,26.0,23.0,23.0,36.0,16.0,548.0,23.0,1.0,26.0,15.0,12.0,545.0,2.0,25.0,24.0,39.0,25.0
" 2022-08-29 16:09:00",28.0,0.0,25.0,28.0,360.0,8.0,12.0,0.0,24.0,26.0,3.0,444.0,1.0,29.0,17.0,7.0,28.0,28.0,24.0,355.0,28.0,11.0,28.0,23.0,25.0,465.0,0.0,25.0,25.0,8.0,19.0
" 2022-08-29 16:09:30",29.0,0.0,27.0,27.0,326.0,8.0,0.0,0.0,27.0,28.0,29.0,385.0,1.0,21.0,30.0,5.0,26.0,23.0,11.0,429.0,27.0,37.0,26.0,28.0,22.0,302.0,31.0,26.0,21.0,17.0,2.0
" 2022-08-29 16:10:00",22.0,0.0,27.0,25.0,313.0,12.0,24.0,1.0,29.0,24.0,9.0,489.0,0.0,22.0,30.0,26.0,23.0,33.0,28.0,331.0,27.0,35.0,24.0,32.0,20.0,334.0,7.0,20.0,27.0,10.0,11.0
" 2022-08-29 16:10:30",16.0,1.0,23.0,20.0,352.0,10.0,10.0,1.0,22.0,22.0,35.0,538.0,1.0,24.0,8.0,26.0,20.0,11.0,25.0,432.0,20.0,6.0,21.0,7.0,14.0,515.0,5.0,24.0,21.0,26.0,0.0
" 2022-08-29 16:11:00",14.0,1.0,29.0,22.0,444.0,6.0,12.0,1.0,20.0,20.0,12.0,524.0,0.0,21.0,19.0,16.0,27.0,18.0,1.0,399.0,28.0,37.0,27.0,5.0,18.0,329.0,21.0,27.0,25.0,30.0,23.0
" 2022-08-29 16:11:30",11.0,1.0,27.0,21.0,478.0,10.0,18.0,0.0,29.0,29.0,3.0,490.0,0.0,25.0,27.0,0.0,28.0,35.0,10.0,372.0,20.0,33.0,22.0,39.0,26.0,449.0,7.0,21.0,26.0,17.0,26.0
" 2022-08-29 16:12:00",14.0,0.0,20.0,24.0,522.0,13.0,23.0,0.0,29.0,24.0,18.0,468.0,1.0,28.0,39.0,14.0,26.0,1.0,7.0,453.0,25.0,8.0,26.0,21.0,16.0,331.0,24.0,27.0,24.0,18.0,27.0
" 2022-08-29 16:12:30",19.0,1.0,27.0,29.0,533.0,32.0,12.0,1.0,28.0,28.0,21.0,346.0,0.0,29.0,10.0,22.0,25.0,30.0,11.0,534.0,21.0,34.0,20.0,11.0,23.0,420.0,11.0,28.0,28.0,29.0,15.0
" 2022-08-29 16:13:00",24.0,0.0,22.0,21.0,409.0,31.0,2.0,0.0,23.0,27.0,13.0,426.0,0.0,28.0,31.0,7.0,25.0,0.0,7.0,303.0,21.0,19.0,22.0,26.0,21.0,504.0,31.0,22.0,29.0,30.0,12.0
" 2022-08-29 16:13:30",8.0,1.0,24.0,20.0,466.0,22.0,24.0,0.0,21.0,26.0,0.0,451.0,1.0,26.0,35.0,3.0,20.0,30.0,8.0,347.0,23.0,6.0,28.0,12.0,4.0,462.0,21.0,20.0,23.0,15.0,25.0
" 2022-08-29 16:14:00",6.0,0.0,27.0,29.0,460.0,37.0,12.0,1.0,26.0,26.0,12.0,396.0,0.0,26.0,33.0,27.0,27.0,35.0,10.0,386.0,23.0,0.0,25.0,11.0,3.0,427.0,0.0,26.0,25.0,15.0,15.0
" 2022-08-29 16:14:30",27.0,1.0,21.0,29.0,448.0,20.0,16.0,1.0,21.0,24.0,13.0,491.0,0.0,24.0,30.0,13.0,26.0,38.0,23.0,475.0,25.0,27.0,26.0,6.0,1.0,388.0,4.0,20.0,21.0,27.0,12.0
" 2022-08-29 16:15:00",17.0,1.0,25.0,27.0,450.0,32.0,3.0,1.0,27.0,26.0,17.0,303.0,0.0,22.0,35.0,6.0,26.0,7.0,2.0,490.0,25.0,8.0,26.0,0.0,10.0,395.0,0.0,23.0,28.0,27.0,18.0
" 2022-08-29 16:15:30",21.0,1.0,23.0,22.0,361.0,9.0,8.0,0.0,26.0,29.0,32.0,536.0,0.0,23.0,17.0,22.0,22.0,24.0,4.0,487.0,22.0,38.0,27.0,29.0,23.0,380.0,9.0,22.0,23.0,32.0,15.0
" 2022-08-29 16:16:00",16.0,1.0,22.0,28.0,486.0,13.0,13.0,0.0,22.0,23.0,24.0,451.0,1.0,27.0,14.0,29.0,28.0,12.0,1.0,541.0,21.0,20.0,21.0,18.0,5.0,454.0,18.0,26.0,22.0,21.0,18.0
" 2022-08-29 16:16:30",29.0,0.0,25.0,26.0,391.0,8.0,0.0,1.0,27.0,24.0,19.0,476.0,1.0,29.0,3.0,13.0,27.0,16.0,22.0,357.0,23.0,5.0,23.0,27.0,15.0,449.0,13.0,26.0,28.0,2.0,9.0
" 2022-08-29 16:17:00",20.0,0.0,27.0,21.0,352.0,2.0,29.0,1.0,25.0,26.0,7.0,366.0,0.0,27.0,35.0,13.0,22.0,26.0,26.0,374.0,26.0,27.0,20.0,23.0,28.0,384.0,24.0,26.0,28.0,3.0,4.0
" 2022-08-29 16:17:30",26.0,0.0,25.0,21.0,459.0,31.0,5.0,1.0,21.0,24.0,12.0,402.0,1.0,20.0,8.0,27.0,26.0,21.0,28.0,431.0,21.0,26.0,27.0,21.0,22.0,450.0,30.0,20.0,26.0,18.0,12.0
" 2022-08-29 16:18:00",9.0,1.0,29.0,29.0,395.0,14.0,14.0,1.0,28.0,28.0,0.0,403.0,1.0,24.0,1.0,22.0,27.0,30.0,17.0,548.0,27.0,16.0,20.0,17.0,3.0,534.0,4.0,20.0,25.0,1.0,9.0
" 2022-08-29 16:18:30",23.0,0.0,21.0,28.0,442.0,37.0,17.0,0.0,24.0,25.0,18.0,530.0,0.0,24.0,24.0,11.0,28.0,18.0,21.0,440.0,22.0,13.0,22.0,20.0,14.0,473.0,21.0,20.0,28.0,17.0,19.0
" 2022-08-29 16:19:00",26.0,0.0,27.0,24.0,303.0,18.0,29.0,0.0,22.0,25.0,20.0,374.0,0.0,26.0,28.0,1.0,26.0,15.0,22.0,496.0,26.0,19.0,23.0,27.0,13.0,453.0,27.0,27.0,25.0,18.0,12.0
" 2022-08-29 16:19:30",18.0,0.0,28.0,22.0,406.0,14.0,6.0,1.0,26.0,28.0,35.0,343.0,1.0,29.0,22.0,20.0,25.0,17.0,9.0,395.0,24.0,14.0,23.0,32.0,26.0,319.0,19.0,24.0,23.0,1.0,4.0
" 2022-08-29 16:20:00",2.0,0.0,28.0,29.0,403.0,3.0,10.0,1.0,29.0,23.0,12.0,327.0,1.0,29.0,15.0,2.0,25.0,12.0,12.0,512.0,28.0,17.0,21.0,17.0,11.0,302.0,35.0,29.0,28.0,28.0,9.0
" 2022-08-29 16:20:30",10.0,0.0,26.0,25.0,524.0,24.0,29.0,1.0,24.0,29.0,15.0,399.0,1.0,22.0,36.0,6.0,20.0,21.0,13.0,374.0,24.0,5.0,23.0,32.0,4.0,428.0,32.0,29.0,22.0,29.0,10.0
" 2022-08-29 16:21:00",7.0,0.0,27.0,27.0,361.0,24.0,1.0,1.0,23.0,24.0,26.0,526.0,1.0,28.0,19.0,20.0,29.0,13.0,13.0,347.0,24.0,21.0,22.0,3.0,14.0,400.0,19.0,25.0,23.0,22.0,25.0
" 2022-08-29 16:21:30",2.0,0.0,24.0,20.0,363.0,0.0,20.0,1.0,21.0,22.0,19.0,546.0,0.0,29.0,23.0,22.0,24.0,1.0,3.0,465.0,23.0,35.0,29.0,39.0,27.0,546.0,17.0,24.0,27.0,0.0,15.0
" 2022-08-29 16:22:00",1.0,0.0,22.0,23.0,395.0,22.0,8.0,1.0,26.0,28.0,31.0,427.0,0.0,22.0,34.0,10.0,24.0,8.0,25.0,468.0,26.0,20.0,21.0,9.0,28.0,450.0,30.0,27.0,20.0,18.0,5.0
" 2022-08-29 16:22:30",20.0,0.0,25.0,23.0,317.0,37.0,9.0,1.0,29.0,25.0,23.0,454.0,1.0,26.0,29.0,19.0,26.0,16.0,12.0,545.0,20.0,27.0,23.0,9.0,4.0,332.0,37.0,26.0,26.0,27.0,24.0
" 2022-08-29 16:23:00",10.0,1.0,27.0,23.0,541.0,11.0,15.0,0.0,20.0,23.0,8.0,434.0,0.0,23.0,22.0,12.0,20.0,15.0,13.0,546.0,27.0,1.0,26.0,33.0,24.0,368.0,36.0,23.0,28.0,24.0,26.0
" 2022-08-29 16:23:30",19.0,0.0,21.0,25.0,529.0,4.0,0.0,0.0,23.0,23.0,11.0,531.0,1.0,29.0,12.0,20.0,22.0,25.0,8.0,383.0,21.0,9.0,22.0,32.0,8.0,511.0,37.0,23.0,22.0,5.0,24.0
" 2022-08-29 16:24:00",11.0,1.0,27.0,21.0,304.0,19.0,19.0,1.0,21.0,29.0,39.0,482.0,1.0,22.0,12.0,7.0,26.0,0.0,16.0,369.0,28.0,31.0,28.0,8.0,8.0,431.0,29.0,22.0,27.0,37.0,26.0
" 2022-08-29 16:24:30",28.0,1.0,29.0,22.0,366.0,26.0,8.0,1.0,23.0,27.0,2.0,355.0,0.0,26.0,4.0,5.0,29.0,16.0,29.0,305.0,29.0,15.0,26.0,4.0,12.0,525.0,0.0,22.0,27.0,34.0,6.0
" 2022-08-29 16:25:00",2.0,1.0,21.0,20.0,442.0,31.0,28.0,0.0,25.0,29.0,24.0,316.0,0.0,25.0,15.0,14.0,27.0,25.0,21.0,407.0,22.0,6.0,25.0,30.0,28.0,361.0,38.0,27.0,23.0,22.0,12.0
" 2022-08-29 16:25:30",13.0,1.0,29.0,23.0,480.0,30.0,13.0,1.0,22.0,24.0,2.0,524.0,0.0,25.0,20.0,4.0,20.0,5.0,29.0,326.0,21.0,20.0,25.0,33.0,6.0,459.0,15.0,26.0,24.0,31.0,2.0
" 2022-08-29 16:26:00",27.0,0.0,29.0,24.0,424.0,8.0,3.0,1.0,27.0,23.0,29.0,320.0,0.0,25.0,16.0,7.0,23.0,12.0,27.0,363.0,25.0,6.0,24.0,27.0,16.0,486.0,30.0,23.0,29.0,10.0,23.0
" 2022-08-29 16:26:30",25.0,1.0,27.0,20.0,487.0,16.0,0.0,0.0,21.0,26.0,31.0,318.0,0.0,23.0,5.0,18.0,27.0,35.0,10.0,533.0,25.0,29.0,22.0,18.0,12.0,429.0,24.0,26.0,29.0,8.0,22.0
" 2022-08-29 16:27:00",26.0,0.0,26.0,27.0,390.0,30.0,20.0,0.0,22.0,25.0,9.0,364.0,1.0,26.0,18.0,11.0,26.0,37.0,11.0,353.0,24.0,39.0,24.0,14.0,10.0,516.0,8.0,27.0,27.0,22.0,23.0
" 2022-08-29 16:27:30",23.0,0.0,29.0,28.0,481.0,3.0,3.0,0.0,29.0,28.0,2.0,538.0,1.0,23.0,24.0,6.0,20.0,17.0,0.0,424.0,28.0,25.0,21.0,37.0,11.0,361.0,4.0,28.0,29.0,33.0,20.0
" 2022-08-29 16:28:00",22.0,0.0,23.0,25.0,548.0,35.0,25.0,1.0,28.0,21.0,17.0,453.0,1.0,29.0,4.0,18.0,21.0,29.0,2.0,315.0,29.0,10.0,24.0,10.0,24.0,451.0,17.0,23.0,25.0,33.0,18.0
" 2022-08-29 16:28:30",13.0,1.0,23.0,24.0,427.0,39.0,7.0,0.0,28.0,26.0,23.0,460.0,1.0,24.0,33.0,12.0,27.0,18.0,20.0,314.0,29.0,0.0,26.0,8.0,23.0,347.0,8.0,28.0,28.0,21.0,29.0
" 2022-08-29 16:29:00",13.0,1.0,26.0,20.0,481.0,19.0,2.0,1.0,28.0,20.0,34.0,399.0,1.0,21.0,11.0,14.0,25.0,17.0,5.0,371.0,29.0,11.0,20.0,16.0,18.0,475.0,14.0,20.0,20.0,18.0,21.0
" 2022-08-29 16:29:30",28.0,1.0,20.0,29.0,340.0,1.0,1.0,0.0,23.0,22.0,29.0,443.0,0.0,27.0,17.0,23.0,27.0,7.0,4.0,489.0,20.0,21.0,20.0,7.0,21.0,488.0,2.0,23.0,20.0,19.0,25.0
" 2022-08-29 16:30:00",2.0,0.0,27.0,28.0,489.0,11.0,18.0,0.0,26.0,28.0,5.0,319.0,1.0,29.0,6.0,20.0,24.0,2.0,1.0,419.0,21.0,3.0,22.0,35.0,5.0,350.0,12.0,27.0,28.0,29.0,17.0
" 2022-08-29 16:30:30",13.0,0.0,23.0,29.0,533.0,4.0,14.0,1.0,26.0,28.0,33.0,427.0,1.0,22.0,29.0,19.0,28.0,5.0,0.0,410.0,20.0,10.0,20.0,34.0,29.0,394.0,23.0,28.0,26.0,19.0,26.0
" 2022-08-29 16:31:00",3.0,0.0,20.0,25.0,327.0,38.0,17.0,1.0,23.0,25.0,35.0,400.0,1.0,23.0,30.0,24.0,24.0,17.0,9.0,343.0,27.0,37.0,26.0,5.0,7.0,327.0,33.0,25.0,22.0,34.0,19.0
" 2022-08-29 16:31:30",3.0,0.0,28.0,25.0,363.0,0.0,4.0,1.0,29.0,21.0,18.0,437.0,1.0,28.0,20.0,23.0,21.0,17.0,17.0,386.0,28.0,39.0,26.0,35.0,18.0,382.0,2.0,22.0,24.0,11.0,27.0
" 2022-08-29 16:32:00",12.0,0.0,22.0,29.0,538.0,8.0,8.0,0.0,24.0,26.0,22.0,537.0,0.0,28.0,39.0,7.0,29.0,0.0,29.0,387.0,22.0,3.0,23.0,9.0,7.0,545.0,28.0,29.0,21.0,3.0,8.0
" 2022-08-29 16:32:30",26.0,0.0,29.0,23.0,472.0,3.0,6.0,1.0,22.0,26.0,1.0,328.0,0.0,21.0,24.0,3.0,25.0,21.0,28.0,345.0,24.0,26.0,26.0,37.0,16.0,479.0,4.0,20.0,22.0,14.0,8.0
" 2022-08-29 16:33:00",29.0,1.0,24.0,26.0,544.0,12.0,3.0,0.0,26.0,22.0,10.0,300.0,1.0,26.0,4.0,8.0,24.0,38.0,5.0,319.0,25.0,7.0,26.0,23.0,27.0,507.0,17.0,27.0,25.0,12.0,11.0
" 2022-08-29 16:33:30",3.0,0.0,24.0,28.0,394.0,29.0,8.0,0.0,25.0,26.0,3.0,540.0,1.0,27.0,8.0,7.0,20.0,30.0,15.0,313.0,21.0,34.0,28.0,35.0,2.0,428.0,26.0,27.0,28.0,24.0,6.0
" 2022-08-29 16:34:00",2.0,0.0,22.0,26.0,456.0,37.0,9.0,2.0,20.0,22.0,11.0,511.0,1.0,27.0,6.0,11.0,28.0,37.0,0.0,389.0,26.0,5.0,21.0,22.0,14.0,514.0,10.0,29.0,21.0,0.0,18.0
" 2022-08-29 16:34:30",25.0,1.0,26.0,23.0,516.0,5.0,4.0,1.0,23.0,23.0,20.0,340.0,0.0,23.0,12.0,21.0,28.0,39.0,29.0,311.0,22.0,4.0,25.0,9.0,2.0,515.0,28.0,27.0,22.0,26.0,25.0
" 2022-08-29 16:35:00",13.0,1.0,28.0,29.0,520.0,12.0,8.0,0.0,27.0,24.0,33.0,517.0,0.0,26.0,8.0,22.0,27.0,38.0,25.0,449.0,26.0,7.0,25.0,7.0,12.0,301.0,37.0,27.0,22.0,33.0,2.0
" 2022-08-29 16:35:30",21.0,0.0,28.0,20.0,308.0,16.0,9.0,1.0,23.0,26.0,18.0,362.0,1.0,21.0,35.0,23.0,22.0,27.0,15.0,516.0,25.0,27.0,21.0,9.0,7.0,353.0,12.0,20.0,28.0,37.0,26.0
" 2022-08-29 16:36:00",7.0,1.0,27.0,22.0,481.0,26.0,13.0,0.0,22.0,23.0,5.0,378.0,1.0,24.0,6.0,21.0,28.0,17.0,22.0,371.0,25.0,17.0,22.0,26.0,7.0,456.0,28.0,22.0,28.0,17.0,27.0
" 2022-08-29 16:36:30",6.0,1.0,23.0,24.0,528.0,37.0,6.0,0.0,20.0,29.0,37.0,410.0,1.0,21.0,32.0,15.0,27.0,28.0,28.0,503.0,27.0,6.0,26.0,32.0,21.0,383.0,6.0,22.0,20.0,28.0,21.0
" 2022-08-29 16:37:00",18.0,1.0,27.0,26.0,352.0,31.0,24.0,0.0,26.0,27.0,6.0,475.0,1.0,22.0,31.0,0.0,26.0,8.0,4.0,548.0,20.0,24.0,26.0,1.0,10.0,352.0,6.0,29.0,28.0,37.0,5.0
" 2022-08-29 16:37:30",19.0,0.0,28.0,28.0,316.0,7.0,18.0,0.0,29.0,20.0,30.0,341.0,0.0,25.0,32.0,13.0,20.0,34.0,17.0,537.0,29.0,12.0,23.0,37.0,18.0,536.0,22.0,26.0,28.0,10.0,27.0
" 2022-08-29 16:38:00",18.0,1.0,25.0,27.0,370.0,26.0,25.0,0.0,26.0,27.0,29.0,346.0,1.0,24.0,21.0,24.0,29.0,16.0,22.0,528.0,20.0,18.0,22.0,33.0,16.0,503.0,31.0,24.0,27.0,35.0,25.0
" 2022-08-29 16:38:30",7.0,1.0,21.0,25.0,428.0,38.0,0.0,0.0,21.0,24.0,27.0,445.0,1.0,21.0,9.0,12.0,22.0,20.0,24.0,506.0,26.0,8.0,24.0,23.0,1.0,315.0,13.0,25.0,23.0,27.0,28.0
" 2022-08-29 16:39:00",12.0,0.0,29.0,26.0,456.0,12.0,9.0,1.0,29.0,27.0,35.0,525.0,2.0,25.0,28.0,22.0,27.0,1.0,19.0,319.0,23.0,17.0,20.0,31.0,19.0,379.0,6.0,24.0,29.0,21.0,28.0
" 2022-08-29 16:39:30",13.0,0.0,20.0,28.0,468.0,30.0,4.0,1.0,24.0,21.0,22.0,391.0,0.0,20.0,10.0,23.0,24.0,15.0,10.0,513.0,28.0,20.0,23.0,29.0,6.0,396.0,6.0,27.0,20.0,13.0,14.0
" 2022-08-29 16:40:00",1.0,0.0,25.0,26.0,446.0,21.0,21.0,1.0,24.0,29.0,11.0,371.0,0.0,21.0,13.0,1.0,20.0,37.0,24.0,449.0,29.0,7.0,20.0,30.0,24.0,340.0,23.0,26.0,21.0,27.0,19.0
" 2022-08-29 16:40:30",13.0,0.0,27.0,21.0,433.0,19.0,14.0,1.0,22.0,25.0,23.0,515.0,1.0,21.0,20.0,13.0,25.0,39.0,15.0,502.0,24.0,19.0,24.0,28.0,10.0,305.0,14.0,23.0,20.0,37.0,2.0
" 2022-08-29 16:41:00",17.0,0.0,26.0,21.0,484.0,36.0,13.0,1.0,24.0,23.0,35.0,411.0,1.0,24.0,30.0,27.0,21.0,10.0,23.0,368.0,21.0,32.0,26.0,3.0,4.0,328.0,8.0,26.0,20.0,39.0,19.0
" 2022-08-29 16:41:30",17.0,1.0,29.0,27.0,402.0,32.0,7.0,1.0,29.0,27.0,24.0,529.0,1.0,25.0,37.0,26.0,20.0,12.0,24.0,351.0,21.0,34.0,21.0,20.0,26.0,412.0,19.0,21.0,26.0,24.0,18.0
" 2022-08-29 16:42:00",19.0,0.0,28.0,25.0,529.0,20.0,24.0,0.0,22.0,27.0,16.0,422.0,0.0,23.0,29.0,0.0,22.0,2.0,24.0,322.0,26.0,14.0,20.0,23.0,17.0,545.0,1.0,21.0,21.0,7.0,22.0
" 2022-08-29 16:42:30",11.0,1.0,26.0,24.0,460.0,35.0,27.0,1.0,23.0,24.0,35.0,540.0,0.0,25.0,13.0,24.0,26.0,29.0,11.0,333.0,24.0,37.0,23.0,18.0,23.0,545.0,19.0,29.0,20.0,1.0,29.0
" 2022-08-29 16:43:00",28.0,1.0,25.0,27.0,452.0,35.0,23.0,1.0,25.0,21.0,2.0,477.0,1.0,22.0,25.0,29.0,25.0,11.0,26.0,377.0,26.0,12.0,25.0,9.0,8.0,467.0,0.0,27.0,22.0,3.0,0.0
" 2022-08-29 16:43:30",7.0,1.0,24.0,24.0,399.0,3.0,27.0,0.0,25.0,20.0,22.0,535.0,0.0,29.0,27.0,7.0,25.0,33.0,17.0,338.0,26.0,37.0,21.0,22.0,20.0,430.0,13.0,29.0,23.0,22.0,2.0
" 2022-08-29 16:44:00",2.0,0.0,28.0,20.0,535.0,18.0,18.0,1.0,22.0,21.0,1.0,401.0,0.0,21.0,8.0,26.0,23.0,29.0,17.0,431.0,23.0,25.0,28.0,10.0,21.0,442.0,7.0,22.0,25.0,13.0,14.0
" 2022-08-29 16:44:30",19.0,0.0,27.0,22.0,377.0,15.0,7.0,0.0,27.0,29.0,13.0,327.0,1.0,29.0,32.0,15.0,24.0,9.0,22.0,493.0,25.0,32.0,24.0,0.0,2.0,433.0,27.0,23.0,27.0,3.0,24.0
" 2022-08-29 16:45:00",7.0,0.0,20.0,24.0,318.0,28.0,23.0,0.0,20.0,23.0,29.0,511.0,1.0,20.0,36.0,6.0,29.0,22.0,24.0,406.0,26.0,10.0,28.0,2.0,20.0,498.0,24.0,20.0,25.0,20.0,26.0
" 2022-08-29 16:45:30",19.0,1.0,25.0,23.0,394.0,3.0,26.0,1.0,25.0,28.0,13.0,426.0,0.0,23.0,11.0,5.0,22.0,24.0,21.0,469.0,26.0,18.0,26.0,35.0,3.0,305.0,30.0,25.0,24.0,10.0,8.0
" 2022-08-29 16:46:00",25.0,1.0,20.0,25.0,345.0,37.0,10.0,0.0,20.0,25.0,15.0,473.0,1.0,21.0,0.0,17.0,24.0,0.0,0.0,352.0,20.0,32.0,21.0,31.0,21.0,462.0,4.0,23.0,26.0,10.0,21.0
" 2022-08-29 16:46:30",1.0,0.0,28.0,26.0,524.0,19.0,9.0,0.0,21.0,21.0,32.0,502.0,0.0,29.0,28.0,12.0,22.0,8.0,17.0,510.0,29.0,25.0,29.0,10.0,7.0,478.0,31.0,22.0,26.0,18.0,11.0
" 2022-08-29 16:47:00",22.0,1.0,27.0,20.0,327.0,7.0,18.0,1.0,24.0,24.0,33.0,546.0,1.0,23.0,12.0,21.0,21.0,25.0,27.0,325.0,26.0,10.0,25.0,15.0,10.0,340.0,0.0,27.0,26.0,29.0,24.0
" 2022-08-29 16:47:30",7.0,1.0,27.0,23.0,465.0,12.0,7.0,0.0,26.0,29.0,35.0,320.0,0.0,24.0,4.0,9.0,25.0,20.0,8.0,469.0,25.0,22.0,20.0,2.0,5.0,384.0,20.0,26.0,27.0,14.0,4.0
" 2022-08-29 16:48:00",19.0,0.0,24.0,26.0,351.0,12.0,12.0,0.0,29.0,28.0,4.0,338.0,0.0,29.0,21.0,29.0,20.0,11.0,10.0,383.0,24.0,15.0,27.0,15.0,24.0,407.0,5.0,22.0,25.0,22.0,22.0
" 2022-08-29 16:48:30",8.0,1.0,21.0,26.0,421.0,11.0,1.0,0.0,24.0,28.0,23.0,421.0,1.0,28.0,18.0,1.0,22.0,24.0,21.0,480.0,28.0,3.0,22.0,8.0,2.0,544.0,0.0,29.0,22.0,36.0,25.0
" 2022-08-29 16:49:00",23.0,0.0,25.0,25.0,480.0,9.0,3.0,1.0,24.0,28.0,10.0,443.0,0.0,23.0,7.0,12.0,20.0,2.0,13.0,507.0,21.0,18.0,24.0,7.0,18.0,435.0,8.0,23.0,29.0,0.0,0.0
" 2022-08-29 16:49:30",21.0,0.0,22.0,25.0,428.0,32.0,27.0,0.0,22.0,22.0,14.0,518.0,1.0,20.0,27.0,29.0,23.0,12.0,3.0,513.0,28.0,30.0,28.0,1.0,15.0,480.0,10.0,22.0,23.0,4.0,27.0
" 2022-08-29 16:50:00",9.0,1.0,22.0,29.0,494.0,4.0,9.0,1.0,23.0,28.0,30.0,361.0,1.0,29.0,4.0,12.0,25.0,21.0,26.0,410.0,28.0,0.0,20.0,24.0,21.0,454.0,9.0,22.0,21.0,39.0,16.0
" 2022-08-29 16:50:30",10.0,1.0,23.0,25.0,529.0,39.0,22.0,1.0,23.0,25.0,23.0,392.0,0.0,26.0,8.0,2.0,29.0,17.0,26.0,384.0,23.0,0.0,25.0,30.0,6.0,375.0,15.0,24.0,24.0,15.0,13.0
" 2022-08-29 16:51:00",20.0,1.0,24.0,28.0,474.0,27.0,24.0,1.0,22.0,27.0,15.0,403.0,1.0,26.0,15.0,6.0,26.0,37.0,23.0,415.0,21.0,1.0,23.0,31.0,5.0,479.0,31.0,21.0,28.0,5.0,27.0
